IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.221.193.22,443,443,true,SIN,Asia Pacific,Singapore,71,20.85
43.153.80.208,443,443,true,SJC,North America,San Jose,153,12.41
107.172.98.6,443,443,true,LAX,North America,Los Angeles,177,11.57
59.3.3.161,443,443,true,ICN,Asia Pacific,Seoul,85,11.06
54.193.48.13,443,443,true,SJC,North America,San Jose,169,10.93
192.237.192.175,443,443,true,DFW,North America,Dallas,197,10.73
13.201.221.231,443,443,true,BOM,Asia Pacific,Mumbai,210,10.12
213.183.48.227,443,443,true,ATL,North America,Atlanta,143,9.98
198.46.152.171,443,443,true,SJC,North America,San Jose,187,9.88
75.2.32.4,443,443,true,IAD,North America,Ashburn,85,9.86
206.189.102.194,443,443,true,AMS,Europe,Amsterdam,262,9.22
38.180.92.156,443,443,true,LHR,Europe,London,230,8.89
34.83.245.149,443,443,true,SEA,North America,Seattle,235,8.81
18.198.227.161,443,443,true,FRA,Europe,Frankfurt,235,8.73
195.133.79.154,443,443,true,AMS,Europe,Amsterdam,197,8.54
63.33.125.145,443,443,true,DUB,Europe,Dublin,209,7.95
52.29.224.33,443,443,true,FRA,Europe,Frankfurt,322,7.86
45.85.93.62,443,443,true,MXP,Europe,Milan,198,7.86
18.135.99.163,443,443,true,LHR,Europe,London,227,7.64
3.75.170.179,443,443,true,FRA,Europe,Frankfurt,198,7.57
31.129.48.139,443,443,true,LED,Europe,Saint Petersburg,212,7.46
44.235.150.107,443,443,true,PDX,North America,Portland,200,7.43
80.76.32.165,443,443,true,FRA,Europe,Frankfurt,215,7.42
44.227.209.152,443,443,true,PDX,North America,Portland,206,7.31
207.61.86.114,443,443,true,YYZ,North America,Toronto,227,7.30
204.110.220.254,443,443,true,PDX,North America,Portland,174,7.28
185.94.165.218,443,443,true,AMS,Europe,Amsterdam,234,7.18
45.85.93.49,443,443,true,MXP,Europe,Milan,208,7.16
51.116.121.75,443,443,true,FRA,Europe,Frankfurt,251,6.85
172.187.200.28,443,443,true,LHR,Europe,London,231,6.74
35.159.168.72,443,443,true,FRA,Europe,Frankfurt,186,6.73
52.30.132.114,443,443,true,DUB,Europe,Dublin,217,6.69
3.8.212.197,443,443,true,LHR,Europe,London,218,6.58
18.153.94.168,443,443,true,FRA,Europe,Frankfurt,179,6.46
54.74.167.219,443,443,true,DUB,Europe,Dublin,227,6.44
185.250.248.13,443,443,true,FRA,Europe,Frankfurt,196,6.38
38.49.38.178,443,443,true,LAX,North America,Los Angeles,177,6.29
185.94.164.107,443,443,true,AMS,Europe,Amsterdam,241,6.18
185.113.8.15,443,443,true,AMS,Europe,Amsterdam,329,5.94
185.94.164.12,443,443,true,AMS,Europe,Amsterdam,205,5.92
3.8.4.143,443,443,true,LHR,Europe,London,239,5.81
34.253.234.62,443,443,true,DUB,Europe,Dublin,289,5.79
45.90.59.204,443,443,true,ZRH,Europe,Zurich,226,5.72
31.129.49.103,443,443,true,LED,Europe,Saint Petersburg,209,5.71
45.82.176.46,443,443,true,AMS,Europe,Amsterdam,244,5.65
38.180.105.164,443,443,true,IST,Europe,Istanbul,280,5.59
207.2.120.15,443,443,true,SJC,North America,San Jose,179,5.57
154.17.25.65,443,443,true,LAX,North America,Los Angeles,158,5.40
34.22.190.30,443,443,true,CDG,Europe,Paris,282,5.33
199.180.155.172,443,443,true,LAX,North America,Los Angeles,190,5.23
194.247.187.181,443,443,true,AMS,Europe,Amsterdam,244,5.18
34.91.136.173,443,443,true,AMS,Europe,Amsterdam,283,5.11
87.251.87.167,443,443,true,FRA,Europe,Frankfurt,248,4.96
185.172.131.49,443,443,true,MUC,Europe,Munich,271,4.93
204.12.225.229,443,443,true,MCI,North America,Kansas City,218,4.90
46.183.186.57,443,443,true,VIE,Europe,Vienna,258,4.88
98.71.19.116,443,443,true,DUB,Europe,Dublin,251,4.88
34.69.150.180,443,443,true,ORD,North America,Chicago,233,4.88
5.161.71.41,443,443,true,IAD,North America,Ashburn,229,4.87
45.138.72.141,443,443,true,FRA,Europe,Frankfurt,255,4.83
167.235.242.114,443,443,true,FRA,Europe,Frankfurt,276,4.83
144.21.57.21,443,443,true,FRA,Europe,Frankfurt,256,4.81
129.159.246.119,443,443,true,FRA,Europe,Frankfurt,268,4.74
158.178.192.221,443,443,true,CDG,Europe,Paris,337,4.69
67.226.222.2,443,443,true,ORD,North America,Chicago,243,4.66
195.201.231.143,443,443,true,FRA,Europe,Frankfurt,291,4.62
141.148.227.19,443,443,true,AMS,Europe,Amsterdam,248,4.58
3.144.108.120,443,443,true,ORD,North America,Chicago,233,4.53
45.147.228.249,443,443,true,FRA,Europe,Frankfurt,188,4.51
89.168.120.197,443,443,true,FRA,Europe,Frankfurt,239,4.51
152.67.136.203,443,443,true,FRA,Europe,Frankfurt,261,4.49
141.147.65.140,443,443,true,FRA,Europe,Frankfurt,253,4.48
213.199.49.245,443,443,true,DUS,Europe,Düsseldorf,257,4.45
132.145.227.140,443,443,true,FRA,Europe,Frankfurt,237,4.45
20.36.131.211,443,443,true,IAD,North America,Ashburn,269,4.45
3.67.25.193,443,443,true,FRA,Europe,Frankfurt,188,4.40
143.47.180.116,443,443,true,FRA,Europe,Frankfurt,267,4.39
34.217.119.17,443,443,true,PDX,North America,Portland,182,4.38
130.162.188.232,443,443,true,FRA,Europe,Frankfurt,273,4.33
92.118.169.17,443,443,true,AMS,Europe,Amsterdam,223,4.31
168.119.231.164,443,443,true,FRA,Europe,Frankfurt,284,4.30
35.228.36.82,443,443,true,ARN,Europe,Stockholm,297,4.28
193.123.58.251,443,443,true,FRA,Europe,Frankfurt,253,4.27
3.18.169.201,443,443,true,ORD,North America,Chicago,217,4.26
79.132.143.54,443,443,true,FRA,Europe,Frankfurt,251,4.25
212.192.9.26,443,443,true,AMS,Europe,Amsterdam,234,4.23
77.223.96.232,443,443,true,FRA,Europe,Frankfurt,244,4.12
104.248.16.87,443,443,true,FRA,Europe,Frankfurt,240,4.09
89.168.109.57,443,443,true,FRA,Europe,Frankfurt,257,4.07
130.162.214.115,443,443,true,FRA,Europe,Frankfurt,284,4.07
130.162.176.5,443,443,true,FRA,Europe,Frankfurt,282,4.03
138.3.252.125,443,443,true,FRA,Europe,Frankfurt,238,3.99
54.203.85.46,443,443,true,PDX,North America,Portland,182,3.97
20.84.117.28,443,443,true,IAD,North America,Ashburn,271,3.93
193.123.63.1,443,443,true,FRA,Europe,Frankfurt,334,3.93
185.40.7.123,443,443,true,KBP,Europe,Kyiv,314,3.91
150.230.112.229,443,443,true,FRA,Europe,Frankfurt,289,3.90
104.248.100.121,443,443,true,FRA,Europe,Frankfurt,273,3.88
52.40.148.143,443,443,true,SJC,North America,San Jose,198,3.88
141.144.195.63,443,443,true,FRA,Europe,Frankfurt,250,3.84
132.226.128.22,443,443,true,FRA,Europe,Frankfurt,318,3.84
158.178.147.88,443,443,true,FRA,Europe,Frankfurt,267,3.82
