IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.221.193.22,443,443,true,SIN,Asia Pacific,Singapore,86,19.55
213.183.48.227,443,443,true,CDG,Europe,Paris,142,11.28
43.153.80.208,443,443,true,SJC,North America,San Jose,156,10.85
38.49.59.43,443,443,true,LAX,North America,Los Angeles,149,10.24
8.20.125.2,443,443,true,SFO,North America,San Francisco,157,10.18
54.193.48.13,443,443,true,SJC,North America,San Jose,160,9.47
3.75.170.179,443,443,true,FRA,Europe,Frankfurt,204,8.99
3.67.25.193,443,443,true,FRA,Europe,Frankfurt,234,8.80
3.77.236.216,443,443,true,FRA,Europe,Frankfurt,186,8.68
52.58.52.105,443,443,true,FRA,Europe,Frankfurt,193,8.46
172.179.181.196,443,443,true,SEA,North America,Seattle,195,8.46
3.249.49.224,443,443,true,DUB,Europe,Dublin,226,8.28
150.230.34.116,443,443,true,SJC,North America,San Jose,170,8.21
185.103.253.35,443,443,true,FRA,Europe,Frankfurt,168,8.16
80.76.32.97,443,443,true,FRA,Europe,Frankfurt,176,8.07
44.224.24.91,443,443,true,PDX,North America,Portland,198,7.98
185.233.202.195,443,443,true,AMS,Europe,Amsterdam,191,7.93
185.103.254.65,443,443,true,AMS,Europe,Amsterdam,193,7.89
18.153.94.168,443,443,true,FRA,Europe,Frankfurt,172,7.83
18.196.70.197,443,443,true,FRA,Europe,Frankfurt,224,7.59
185.94.165.200,443,443,true,AMS,Europe,Amsterdam,191,7.36
185.94.164.72,443,443,true,AMS,Europe,Amsterdam,236,7.32
51.20.137.24,443,443,true,ARN,Europe,Stockholm,224,7.28
13.53.206.75,443,443,true,CPH,Europe,Copenhagen,204,7.20
5.161.71.41,443,443,true,IAD,North America,Ashburn,219,7.12
185.151.243.200,443,443,true,LED,Europe,Saint Petersburg,276,7.11
18.135.99.163,443,443,true,LHR,Europe,London,196,6.93
51.20.124.5,443,443,true,ARN,Europe,Stockholm,247,6.79
54.74.167.219,443,443,true,DUB,Europe,Dublin,245,6.61
52.30.132.114,443,443,true,DUB,Europe,Dublin,233,6.51
217.196.103.23,443,443,true,FRA,Europe,Frankfurt,249,6.50
3.13.196.41,443,443,true,ORD,North America,Chicago,242,6.49
35.95.178.68,443,443,true,SJC,North America,San Jose,190,6.46
185.209.23.63,443,443,true,AMS,Europe,Amsterdam,242,6.42
18.184.27.249,443,443,true,FRA,Europe,Frankfurt,207,6.41
35.181.77.67,443,443,true,CDG,Europe,Paris,203,6.39
185.255.172.154,443,443,true,IST,Europe,Istanbul,233,6.34
193.142.147.178,443,443,true,AMS,Europe,Amsterdam,273,6.21
3.76.179.225,443,443,true,FRA,Europe,Frankfurt,204,6.20
185.94.164.12,443,443,true,AMS,Europe,Amsterdam,223,6.20
204.110.223.145,443,443,true,ORD,North America,Chicago,212,6.10
3.8.4.143,443,443,true,LHR,Europe,London,218,6.07
52.18.155.172,443,443,true,DUB,Europe,Dublin,249,6.01
195.58.50.194,443,443,true,AMS,Europe,Amsterdam,218,5.89
204.110.223.136,443,443,true,ORD,North America,Chicago,213,5.77
185.58.207.12,443,443,true,HEL,Europe,Helsinki,260,5.74
13.50.211.86,443,443,true,ARN,Europe,Stockholm,204,5.66
81.95.4.189,443,443,true,FRA,Europe,Frankfurt,180,5.64
185.250.248.13,443,443,true,FRA,Europe,Frankfurt,215,5.64
185.113.8.15,443,443,true,AMS,Europe,Amsterdam,227,5.62
45.85.93.51,443,443,true,MXP,Europe,Milan,210,5.57
46.101.243.68,443,443,true,FRA,Europe,Frankfurt,244,5.57
37.1.194.7,443,443,true,FRA,Europe,Frankfurt,230,5.51
185.94.164.107,443,443,true,AMS,Europe,Amsterdam,234,5.50
52.58.248.166,443,443,true,FRA,Europe,Frankfurt,201,5.50
38.49.38.178,443,443,true,LAX,North America,Los Angeles,187,5.40
89.208.104.241,443,443,true,FRA,Europe,Frankfurt,216,5.37
34.90.238.89,443,443,true,AMS,Europe,Amsterdam,281,5.24
172.212.108.47,443,443,true,EWR,North America,Newark,254,5.15
16.171.60.7,443,443,true,ARN,Europe,Stockholm,229,5.15
46.165.198.147,443,443,true,FRA,Europe,Frankfurt,284,5.13
172.187.200.28,443,443,true,LHR,Europe,London,225,5.06
52.165.82.62,443,443,true,ORD,North America,Chicago,240,5.05
141.147.76.5,443,443,true,FRA,Europe,Frankfurt,254,5.05
143.47.244.88,443,443,true,FRA,Europe,Frankfurt,241,5.04
192.236.249.99,443,443,true,AMS,Europe,Amsterdam,295,5.02
217.196.106.121,443,443,true,HEL,Europe,Helsinki,259,5.01
35.154.110.69,443,443,true,BOM,Asia Pacific,Mumbai,246,4.91
152.70.59.185,443,443,true,FRA,Europe,Frankfurt,252,4.90
194.58.68.145,443,443,true,AMS,Europe,Amsterdam,236,4.84
212.192.31.162,443,443,true,FRA,Europe,Frankfurt,260,4.83
154.16.16.24,443,443,true,AMS,Europe,Amsterdam,271,4.75
158.180.59.55,443,443,true,FRA,Europe,Frankfurt,238,4.74
195.133.75.188,443,443,true,AMS,Europe,Amsterdam,211,4.74
144.21.40.97,443,443,true,FRA,Europe,Frankfurt,265,4.73
193.168.143.152,443,443,true,OTP,Europe,Bucharest,310,4.67
195.201.135.208,443,443,true,FRA,Europe,Frankfurt,243,4.61
94.177.8.2,443,443,true,VIE,Europe,Vienna,289,4.60
46.36.223.141,443,443,true,ARN,Europe,Stockholm,260,4.56
45.132.1.254,443,443,true,FRA,Europe,Frankfurt,283,4.55
91.90.193.24,443,443,true,GVA,Europe,Geneva,201,4.53
80.158.63.104,443,443,true,MXP,Europe,Milan,265,4.52
104.255.69.3,443,443,true,AMS,Europe,Amsterdam,259,4.52
193.122.62.181,443,443,true,FRA,Europe,Frankfurt,269,4.44
158.101.218.202,443,443,true,FRA,Europe,Frankfurt,244,4.36
87.251.87.36,443,443,true,FRA,Europe,Frankfurt,258,4.36
94.177.8.26,443,443,true,VIE,Europe,Vienna,281,4.35
130.162.188.243,443,443,true,FRA,Europe,Frankfurt,291,4.30
129.159.252.80,443,443,true,FRA,Europe,Frankfurt,259,4.28
46.102.156.77,443,443,true,VIE,Europe,Vienna,287,4.25
94.103.95.115,443,443,true,DME,Europe,Moscow,252,4.25
185.103.100.101,443,443,true,FRA,Europe,Frankfurt,287,4.24
37.1.199.128,443,443,true,FRA,Europe,Frankfurt,276,4.24
195.201.231.143,443,443,true,FRA,Europe,Frankfurt,280,4.22
34.91.136.173,443,443,true,AMS,Europe,Amsterdam,285,4.21
34.147.231.33,443,443,true,LHR,Europe,London,264,4.20
150.230.20.204,443,443,true,FRA,Europe,Frankfurt,255,4.19
89.110.69.166,443,443,true,AMS,Europe,Amsterdam,276,4.16
141.147.69.198,443,443,true,FRA,Europe,Frankfurt,267,4.15
206.189.102.194,443,443,true,AMS,Europe,Amsterdam,282,4.10
152.67.137.243,443,443,true,FRA,Europe,Frankfurt,241,4.10
141.148.236.47,443,443,true,FRA,Europe,Frankfurt,293,4.08
34.22.190.30,443,443,true,CDG,Europe,Paris,284,4.05
3.127.55.133,443,443,true,FRA,Europe,Frankfurt,179,4.05
195.200.26.16,443,443,true,AMS,Europe,Amsterdam,263,4.03
185.94.165.167,443,443,true,AMS,Europe,Amsterdam,218,4.02
158.101.215.128,443,443,true,FRA,Europe,Frankfurt,292,4.02
132.145.239.123,443,443,true,FRA,Europe,Frankfurt,263,3.97
103.79.79.192,443,443,true,LAX,North America,Los Angeles,177,3.95
174.138.8.21,443,443,true,AMS,Europe,Amsterdam,265,3.94
152.70.52.253,443,443,true,FRA,Europe,Frankfurt,241,3.92
132.226.199.121,443,443,true,FRA,Europe,Frankfurt,279,3.91
94.177.8.54,443,443,true,VIE,Europe,Vienna,268,3.86
34.88.63.160,443,443,true,FRA,Europe,Frankfurt,309,3.86
185.8.60.113,443,443,true,RIX,Europe,Riga,241,3.85
143.47.185.129,443,443,true,FRA,Europe,Frankfurt,252,3.83
91.108.241.127,443,443,true,ARN,Europe,Stockholm,244,3.82
143.47.187.101,443,443,true,FRA,Europe,Frankfurt,275,3.81
130.162.160.167,443,443,true,FRA,Europe,Frankfurt,253,3.80
20.246.127.166,443,443,true,IAD,North America,Ashburn,232,3.69
130.162.34.126,443,443,true,FRA,Europe,Frankfurt,283,3.69
31.129.48.139,443,443,true,LED,Europe,Saint Petersburg,251,3.64
195.133.13.93,443,443,true,ARN,Europe,Stockholm,212,3.62
143.47.246.247,443,443,true,FRA,Europe,Frankfurt,243,3.61
138.2.170.250,443,443,true,FRA,Europe,Frankfurt,269,3.60
37.235.54.135,443,443,true,LHR,Europe,London,256,3.56
158.101.209.252,443,443,true,FRA,Europe,Frankfurt,298,3.55
130.162.189.118,443,443,true,FRA,Europe,Frankfurt,279,3.52
34.253.234.62,443,443,true,DUB,Europe,Dublin,234,3.51
185.9.55.119,443,443,true,RIX,Europe,Riga,234,3.51
193.123.37.142,443,443,true,FRA,Europe,Frankfurt,246,3.50
144.21.39.183,443,443,true,FRA,Europe,Frankfurt,265,3.49
94.177.8.40,443,443,true,VIE,Europe,Vienna,250,3.46
158.101.223.154,443,443,true,FRA,Europe,Frankfurt,244,3.45
141.144.203.105,443,443,true,FRA,Europe,Frankfurt,270,3.44
185.52.1.18,443,443,true,FRA,Europe,Frankfurt,275,3.44
8.219.235.20,443,443,true,SIN,Asia Pacific,Singapore,204,3.43
141.148.241.183,443,443,true,FRA,Europe,Frankfurt,243,3.38
130.162.163.57,443,443,true,FRA,Europe,Frankfurt,269,3.38
143.47.228.158,443,443,true,FRA,Europe,Frankfurt,284,3.38
144.21.38.96,443,443,true,FRA,Europe,Frankfurt,243,3.36
144.21.36.199,443,443,true,FRA,Europe,Frankfurt,266,3.34
194.5.97.149,443,443,true,AMS,Europe,Amsterdam,215,3.31
173.249.207.151,443,443,true,SJC,North America,San Jose,202,3.30
67.226.222.2,443,443,true,ORD,North America,Chicago,218,3.27
34.175.202.195,443,443,true,MAD,Europe,Madrid,293,3.26
43.153.119.207,443,443,true,SJC,North America,San Jose,158,3.25
144.24.164.121,443,443,true,FRA,Europe,Frankfurt,265,3.25
192.236.249.109,443,443,true,AMS,Europe,Amsterdam,316,3.19
194.87.35.72,443,443,true,AMS,Europe,Amsterdam,219,3.19
193.123.59.169,443,443,true,FRA,Europe,Frankfurt,313,3.17
143.47.191.234,443,443,true,FRA,Europe,Frankfurt,271,3.16
3.109.185.221,443,443,true,BOM,Asia Pacific,Mumbai,306,3.16
147.45.196.70,443,443,true,FRA,Europe,Frankfurt,276,3.14
192.236.249.110,443,443,true,AMS,Europe,Amsterdam,315,3.12
188.132.183.136,443,443,true,IST,Europe,Istanbul,256,3.09
46.102.156.86,443,443,true,VIE,Europe,Vienna,283,3.08
87.128.18.23,443,443,true,TXL,Europe,Berlin,236,3.08
193.122.13.77,443,443,true,FRA,Europe,Frankfurt,299,3.07
132.226.131.4,443,443,true,FRA,Europe,Frankfurt,302,3.06
84.252.120.15,443,443,true,FRA,Europe,Frankfurt,201,3.05
143.47.233.231,443,443,true,FRA,Europe,Frankfurt,284,3.00
144.21.62.186,443,443,true,FRA,Europe,Frankfurt,298,2.94
79.72.91.200,443,443,true,FRA,Europe,Frankfurt,271,2.93
132.226.213.17,443,443,true,FRA,Europe,Frankfurt,302,2.92
185.233.203.134,443,443,true,AMS,Europe,Amsterdam,213,2.86
20.62.202.159,443,443,true,IAD,North America,Ashburn,252,2.86
213.199.49.247,443,443,true,DUS,Europe,Düsseldorf,291,2.82
152.67.149.146,443,443,true,FRA,Europe,Frankfurt,290,2.75
58.176.95.46,443,443,true,HKG,Asia Pacific,Hong Kong,93,2.61
98.70.26.236,443,443,true,BOM,Asia Pacific,Mumbai,132,2.61
45.85.93.49,443,443,true,MXP,Europe,Milan,189,2.56
77.73.71.196,443,443,true,WAW,Europe,Warsaw,228,2.54
185.40.7.123,443,443,true,HEL,Europe,Helsinki,289,2.53
96.0.147.114,443,80,false,SIN,Asia Pacific,Singapore,154,2.52
5.42.72.177,443,443,true,ARN,Europe,Stockholm,258,2.50
104.248.16.87,443,443,true,FRA,Europe,Frankfurt,246,2.48
178.208.79.111,443,443,true,AMS,Europe,Amsterdam,187,2.48
147.78.0.247,443,443,true,CDG,Europe,Paris,300,2.46
54.203.85.46,443,443,true,PDX,North America,Portland,181,2.42
165.227.134.63,443,443,true,FRA,Europe,Frankfurt,279,2.41
3.18.169.201,443,443,true,ORD,North America,Chicago,219,2.37
45.9.72.114,443,443,true,KBP,Europe,Kyiv,256,2.36
204.110.223.121,443,443,true,ORD,North America,Chicago,248,2.35
172.200.2.241,443,443,true,IAD,North America,Ashburn,253,2.35
150.230.23.93,443,443,true,FRA,Europe,Frankfurt,260,2.33
91.227.77.87,443,443,true,SOF,Europe,Sofia,288,2.28
185.87.150.54,443,443,true,LHR,Europe,London,206,2.26
167.235.242.114,443,443,true,FRA,Europe,Frankfurt,273,2.24
185.106.103.168,443,443,true,LCA,Europe,Nicosia,272,2.23
67.207.73.198,443,443,true,FRA,Europe,Frankfurt,255,2.23
