IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
98.70.26.236,443,443,true,BOM,Asia Pacific,IN,Mumbai,126,12.90
8.20.125.1,443,443,true,SFO,North America,US,San Francisco,155,12.73
8.20.125.2,443,443,true,SFO,North America,US,San Francisco,159,11.31
52.141.25.42,443,443,true,ICN,Asia Pacific,KR,Seoul,122,10.96
43.156.253.94,443,443,true,SIN,Asia Pacific,SG,Singapore,69,10.39
18.153.244.138,443,443,true,FRA,Europe,DE,Frankfurt,206,10.23
91.149.239.122,443,443,true,LAX,North America,US,Los Angeles,188,10.20
18.184.27.249,443,443,true,FRA,Europe,DE,Frankfurt,207,10.07
75.2.32.4,443,443,true,IAD,North America,US,Ashburn,88,9.99
173.249.207.151,443,443,true,SJC,North America,US,San Jose,186,9.84
3.127.15.79,443,443,true,FRA,Europe,DE,Frankfurt,234,9.65
44.224.24.91,443,443,true,PDX,North America,US,Portland,195,9.30
3.14.5.155,443,443,true,ORD,North America,US,Chicago,197,8.71
52.53.196.76,443,443,true,SJC,North America,US,San Jose,147,8.67
101.36.119.145,443,443,true,LAX,North America,US,Los Angeles,234,8.47
31.129.49.103,443,443,true,LED,Europe,RU,Saint Petersburg,246,8.22
193.84.2.206,443,443,true,HEL,Europe,FI,Helsinki,257,8.05
185.94.164.107,443,443,true,AMS,Europe,NL,Amsterdam,206,8.01
16.171.60.7,443,443,true,ARN,Europe,SE,Stockholm,202,7.82
52.29.224.33,443,443,true,FRA,Europe,DE,Frankfurt,217,7.61
192.9.157.76,443,8443,true,SJC,North America,US,San Jose,172,7.56
54.194.162.247,443,443,true,DUB,Europe,IE,Dublin,205,7.55
95.164.10.50,443,443,true,CPH,Europe,DK,Copenhagen,233,7.53
185.255.172.154,443,443,true,IST,Europe,TR,Istanbul,240,7.39
45.147.228.249,443,443,true,FRA,Europe,DE,Frankfurt,198,7.35
18.198.227.161,443,443,true,FRA,Europe,DE,Frankfurt,201,7.35
194.147.33.13,443,443,true,AMS,Europe,NL,Amsterdam,223,7.29
18.208.146.83,443,443,true,BOS,North America,US,Boston,228,7.03
192.236.249.111,443,443,true,AMS,Europe,NL,Amsterdam,243,7.01
213.255.209.207,443,443,true,YYZ,North America,CA,Toronto,215,6.99
188.34.200.15,443,443,true,FRA,Europe,DE,Frankfurt,279,6.89
23.94.25.168,443,443,true,SJC,North America,US,San Jose,176,6.70
38.49.38.178,443,443,true,LAX,North America,US,Los Angeles,174,6.66
77.238.237.179,443,443,true,AMS,Europe,NL,Amsterdam,244,6.47
192.237.192.175,443,443,true,DFW,North America,US,Dallas,194,6.47
35.181.77.67,443,443,true,CDG,Europe,FR,Paris,219,6.35
185.233.203.134,443,443,true,AMS,Europe,NL,Amsterdam,217,6.30
18.135.99.163,443,443,true,LHR,Europe,GB,London,200,6.30
